:ID,name,labels,ontology_id,ontology_name,semantic_type,induced_concept,original_node,uri
$rac{1}{4}$ inch in diameter,$rac{1}{4}$ inch in diameter,Entity,C0748864,CHV,Medical Concept,"small size, tiny dimension, minute measurement",$rac{1}{4}$ inch in diameter,
1 in every 500 people,1 in every 500 people,Entity,C3552095,OMIM,Medical Concept,"rare occurrence, infrequent event, low prevalence",1 in every 500 people,
1-4 months,1-4 months,Entity,C0439593,SNOMEDCT_US,Medical Concept,"short duration, brief period, limited timeframe",1-4 months,
10 inches long,10 inches long,Entity,C2092698,MEDCIN,Medical Concept,"medium length, moderate size, substantial dimension",10 inches long,
"100,000 times a day","100,000 times a day",Entity,C0205212,MTH,Medical Concept,"high frequency, intense activity, excessive rate","100,000 times a day",
144 beats per minute,144 beats per minute,Entity,C2029901,MEDCIN,Medical Concept,"fast heart rate, rapid pulse, elevated rhythm",144 beats per minute,
180 beats per minute,180 beats per minute,Entity,C3837274,MEDCIN,Medical Concept,"very fast heart rate, extremely rapid pulse, highly elevated rhythm",180 beats per minute,
1½ inches long,1½ inches long,Entity,C4531138,HPO,Medical Concept,"short length, limited size, small dimension",1½ inches long,
50,50,Entity,C0511449,NIC,Medical Concept,"small number, moderate quantity, limited amount",50,
6 weeks,6 weeks,Entity,UNKNOWN:6 WEEKS,UNKNOWN,Medical Concept,"medium duration, brief period, limited timeframe",6 weeks,
90 beats per minute,90 beats per minute,Entity,C2712143,SNOMEDCT_US,Medical Concept,"normal heart rate, average pulse, standard rhythm",90 beats per minute,
AED,AED,Entity,C0025080,MTH,Medical Concept,"medical device, life-saving equipment, automated defibrillator",AED,
ALS,ALS,Entity,C0456043,SNOMEDCT_US,Disease or Syndrome,"neurological disorder, motor neuron disease, progressive condition",ALS,
ALT,ALT,Entity,C4521602,MTH,Medical Concept,"enzyme, liver function test, alanine transaminase",ALT,
AML,AML,Entity,C4280478,HPO,Sign or Symptom,"blood cancer, leukemia subtype, acute myeloid leukemia",AML,
ANXIETY,ANXIETY,Entity,C0684322,MTH,Medical Concept,"emotional state, mental health issue, psychological condition",ANXIETY,
AST,AST,Entity,C4521602,MTH,Medical Concept,"enzyme, liver function test, aspartate transaminase",AST,
Abdominal pain,Abdominal pain,Entity,C0426576,SNOMEDCT_US,Sign or Symptom,"gastrointestinal symptom, visceral discomfort, abdominal distress",Abdominal pain,
Actinic keratoses,Actinic keratoses,Entity,C0037284,SNOMEDCT_US,Medical Concept,"skin lesion, solar keratosis, precancerous growth",Actinic keratoses,
Addison's disease,Addison's disease,Entity,C0349368,SNOMEDCT_US,Disease or Syndrome,"endocrine disorder, adrenal insufficiency, hormone deficiency",Addison's disease,
Adults younger than 30,Adults younger than 30,Entity,C5958835,NCI,Medical Concept,medical concept,Adults younger than 30,
Albumin,Albumin,Entity,C5958835,NCI,Medical Concept,medical concept,Albumin,
Alcohol,Alcohol,Entity,C5958835,NCI,Medical Concept,medical concept,Alcohol,
