:START_ID,:END_ID,:TYPE,relation,confidence,segment_id,doc_id
AED,abnormal rhythm,TREATS,treats,1,60,
AED,cardiopulmonary resuscitation (CPR),EASIER_TO_USE_THAN,easier to use than,1,60,
AED,cardiopulmonary resuscitation (CPR),MORE_EFFECTIVE_THAN,more effective than,1,60,
AED,[Event: the person's heart rhythm],CHECKS,checks,1,60,
AED,[Event: if the person needs it],ADMINISTERS_A_SHOCK,administers a shock,1,60,
ALS,muscles,AFFECTS,affects,1,234,
ALS,body's motor functions,AFFECTS,affects,1,234,
ALT,liver enzyme levels,TEST,test,1,274,
AML,fever,TREATS,treats,1,205,
AML,bruise and bleed easily,CAUSES,causes,1,205,
AML,fatigue,CHARACTERIZED_BY,characterized by,1,205,
ANXIETY,anxiety,HAVE,have,1,77,
AST,liver enzyme levels,TEST,test,1,274,
Actinic keratoses,cancerous,CAN_BECOME,can become,1,47,
Alcohol,DIABETES,TREATS,treats,1,92,
Alzheimer's disease,areas of the brain responsible for intellect and memory,AFFECTS,affects,1,232,
Alzheimer's disease,[Event: dementia],IS_THE_MOST_COMMON_CAUSE_OF,is the most common cause of,1,232,
Angiography,blood vessels,IS_USED_TO_EXAMINE,is used to examine,1,43,
Antifreeze,poisoning,TREATS,treats,1,64,
Antiphospholipid antibody syndrome,people who do not have an autoimmune disease,CAN_OCCUR_IN,can occur in,1,330,
Antiphospholipid antibody syndrome,some people with autoimmune disorders,IS_PRESENT_IN,is present in,1,330,
Antiphospholipid antibody syndrome,[Event: bacterial or viral infection],MAY_APPEAR_DURING,may appear during,1,330,
Antiviral drugs,viral infections,TREATS,treats,1,331,
Appendicitis,Abdominal pain,HAS_SYMPTOM,has symptom,1,101,
Autism,1 in every 500 people,AFFECTS,affects,1,250,
BRCA1,risk,INCREASE,increase,1,304,
BRCA1,breast cancer,LOOKS_FOR,looks for,1,339,
BRCA2,risk,INCREASE,increase,1,304,
BRCA2,ovarian cancer,LOOKS_FOR,looks for,1,339,
Bacteria,infection,CAUSE,cause,1,331,
Bacteria,[Event: human body],LIVE,live,1,331,
Bad breath,Vomiting,CAUSES,causes,1,89,
Basal cell carcinoma,overexposure to the sun,CAUSED_BY,caused by,1,46,
Benign moles,for cosmetic reasons,CAN_BE_SURGICALLY_REMOVED,can be surgically removed,1,381,
Binge Eating Disorder,bulimia,OCCURS_IN,occurs in,1,247,
Binge Eating Disorder,about 4 million people,AFFECTS,affects,1,247,
Bites,small red bumps,CAUSE,cause,1,48,
Botulism,nausea,CAUSES,causes,1,271,
Boys,girls,ARE_AFFECTED_ABOUT_FOUR_TIMES_AS_OFTEN_AS,are affected about four times as often as,1,250,
Bruises,an injury breaks small blood vessels under the skin,OCCUR_WHEN,occur when,1,66,
Burned,Sexually Transmitted Diseases,TREATS,treats,1,145,
CA-125 Test,ovarian cancer,DIAGNOSE,diagnose,1,58,
CA-125 Test,inflammation in the abdomen,ELEVATED_IN,elevated in,1,58,
CA-125 Test,pelvic infections,ELEVATED_IN,elevated in,1,58,
CA-125 Test,uterine fibroids,ELEVATED_IN,elevated in,1,58,
CA-125 Test,ovarian cysts,ELEVATED_IN,elevated in,1,58,
CA-125 Test,endometriosis,ELEVATED_IN,elevated in,1,58,
CA-125 Test,hepatitis,ELEVATED_IN,elevated in,1,58,
COLD,minor illness,TREATS,treats,1,99,
COLIC,serious illness,MAY_HAVE,may have,1,99,
CT scan,sinusitis,CAN_HELP_DETERMINE_THE_EXTENT_OF_INFLAMMATION_AND_SEVERITY_OF_SINUSITIS,can help determine the extent of inflammation and severity of sinusitis,1,217,
Caffeine,DIABETES,TREATS,treats,1,92,
Carbon monoxide,level of oxygen in your blood,REDUCES,reduces,1,11,
Child,[Event: fever],EXPERIENCES,experiences,1,101,
Child,[Event: abdominal pain],EXPERIENCES,experiences,1,101,
Child,[Event: nightmares],EXPERIENCE,experience,1,119,
Children,[Event: vaccinations during childhood],RECEIVE,receive,1,104,
Cholera,bacteria,CAUSED_BY,caused by,1,336,
Cholesterol-lowering medications,heart disease,TREATS,treats,1,180,
Cigarettes and other forms of tobacco,lung cancer,CAUSES,causes,1,64,
Cluster A personality disorders,odd or eccentric behavior,ARE_CHARACTERIZED_BY,are characterized by,1,246,
Cluster B personality disorders,dramatic and highly emotional behavior,ARE_MARKED_BY,are marked by,1,246,
Cluster C personality disorders,"avoidant, dependent, and obsessive-compulsive",ARE_TYPIFIED_BY,are typified by,1,246,
"Cosmetics, colognes, or perfumes",allergic reactions,CAN_CAUSE,can cause,1,64,
Cramp,Painful urination,CAUSES,causes,1,93,
Crohn's disease,any part of the digestive tract,CAN_OCCUR_IN,can occur in,1,263,
Cut,Sexually Transmitted Diseases,TREATS,treats,1,145,
Depression,Increasing Circulation,TREATS,treats,1,72,
Diaper rash,prolonged contact with urine or feces,RESULTS_FROM,results from,1,108,
Diaper rash,chafing,CAN_ALSO_RESULT_FROM,can also result from,1,108,
Diaper rash,bacterial or yeast infection (thrush),CAN_ALSO_RESULT_FROM,can also result from,1,108,
Diaper rash,"chemical irritants such as soap, detergent, or fabric softener",IS_AN_ALLERGIC_REACTION_TO,is an allergic reaction to,1,108,
Diaper rash,synthetic materials in disposable diapers,IS_AN_ALLERGIC_REACTION_TO,is an allergic reaction to,1,108,
Diaper rash is easily diagnosed,[Event: symptoms],DONE_THROUGH,done through,1,108,
"Dizziness, confusion, or loss of consciousness",severe and persistent Headache,ACCOMPANIED_BY,accompanied by,1,230,
Doctor,[Event: conventional therapy],RECEIVING_AN_ACCURATE_DIAGNOSIS_FROM,receiving an accurate diagnosis from,1,35,
Doctor,Different Drug,PRESCRIBES,prescribes,1,80,
Doctor,[Event: treatment],PRESCRIBES,prescribes,1,80,
Doctor,[Event: patient's symptoms],SEES,sees,1,86,
