clean_node,original_node,ontology_id,ontology_name,umls_id,label,match_score,semantic_type,source,uri,alternative_matches
$rac{1}{4}$ inch in diameter,$rac{1}{4}$ inch in diameter,C0748864,CHV,C0748864,small size,1.0,Medical Concept,umls_api,https://www.nlm.nih.gov/research/umls/knowledge_sources/metathesaurus/C0748864,"[{""ontology_id"": ""C3267018"", ""ontology"": ""MDR"", ""score"": 0.8}, {""ontology_id"": ""C4314701"", ""ontology"": ""OMIM"", ""score"": 0.8}, {""ontology_id"": ""C1833182"", ""ontology"": ""HPO"", ""score"": 0.6}]"
1 in every 500 people,1 in every 500 people,C3552095,OMIM,C3552095,Rare occurrences of 9+0 or 8+1 cilia,0.8,Medical Concept,umls_api,https://www.nlm.nih.gov/research/umls/knowledge_sources/metathesaurus/C3552095,[]
1-4 months,1-4 months,C0439593,SNOMEDCT_US,C0439593,Short duration,1.0,Medical Concept,umls_api,https://www.nlm.nih.gov/research/umls/knowledge_sources/metathesaurus/C0439593,"[{""ontology_id"": ""C1563253"", ""ontology"": ""MEDCIN"", ""score"": 0.8}, {""ontology_id"": ""C0566672"", ""ontology"": ""SNOMEDCT_US"", ""score"": 0.8}, {""ontology_id"": ""C0429362"", ""ontology"": ""SNOMEDCT_US"", ""score"": 0.8}]"
10 inches long,10 inches long,C2092698,MEDCIN,C2092698,medium weight full length elastic stocking,0.6,Medical Concept,umls_api,https://www.nlm.nih.gov/research/umls/knowledge_sources/metathesaurus/C2092698,"[{""ontology_id"": ""C1967279"", ""ontology"": ""NDDF"", ""score"": 0.6}, {""ontology_id"": ""C1698319"", ""ontology"": ""NDDF"", ""score"": 0.6}, {""ontology_id"": ""C1967260"", ""ontology"": ""NDDF"", ""score"": 0.6}]"
"100,000 times a day","100,000 times a day",C0205212,MTH,C0205212,High frequency,1.0,Medical Concept,umls_api,https://www.nlm.nih.gov/research/umls/knowledge_sources/metathesaurus/C0205212,"[{""ontology_id"": ""C0430649"", ""ontology"": ""MTH"", ""score"": 0.8}, {""ontology_id"": ""C0456734"", ""ontology"": ""SNOMEDCT_US"", ""score"": 0.8}, {""ontology_id"": ""C5575287"", ""ontology"": ""MTH"", ""score"": 0.8}]"
144 beats per minute,144 beats per minute,C2029901,MEDCIN,C2029901,fast heart rate over 160,0.8,Medical Concept,umls_api,https://www.nlm.nih.gov/research/umls/knowledge_sources/metathesaurus/C2029901,"[{""ontology_id"": ""C3837275"", ""ontology"": ""MEDCIN"", ""score"": 0.6}, {""ontology_id"": ""C3837274"", ""ontology"": ""MEDCIN"", ""score"": 0.6}]"
180 beats per minute,180 beats per minute,C3837274,MEDCIN,C3837274,heart rate is very fast,0.6,Medical Concept,umls_api,https://www.nlm.nih.gov/research/umls/knowledge_sources/metathesaurus/C3837274,[]
1½ inches long,1½ inches long,C4531138,HPO,C4531138,Short telomere length,0.6,Medical Concept,umls_api,https://www.nlm.nih.gov/research/umls/knowledge_sources/metathesaurus/C4531138,"[{""ontology_id"": ""C6013296"", ""ontology"": ""OMIM"", ""score"": 0.6}, {""ontology_id"": ""C4012975"", ""ontology"": ""OMIM"", ""score"": 0.6}, {""ontology_id"": ""C0742159"", ""ontology"": ""CCPSS"", ""score"": 0.6}]"
50,50,C0511449,NIC,C0511449,Give a small number of suggestions in an assertive manner,0.8,Medical Concept,umls_api,https://www.nlm.nih.gov/research/umls/knowledge_sources/metathesaurus/C0511449,"[{""ontology_id"": ""C1739294"", ""ontology"": ""NIC"", ""score"": 0.8}, {""ontology_id"": ""C4229038"", ""ontology"": ""OMIM"", ""score"": 0.6}, {""ontology_id"": ""C3551072"", ""ontology"": ""OMIM"", ""score"": 0.6}]"
6 weeks,6 weeks,UNKNOWN:6 WEEKS,UNKNOWN,,6 weeks,0.0,Medical Concept,fallback,,[]
